complaint_text,crime_category
ALERT: Your vehicle has been blacklisted due to 5 unpaid challans. Clear them at [Link]. Act immediately to avoid legal consequences.,Phishing
"CRITICAL NOTICE: Dear Consumer your electricity power will be disconnected. Tonight at 9.30 pm from electricity office, because your previous month's bill was not updated. Please immediately contact our electricity officer call 91538xxxxx. Thank you.",Phishing
"Data Entry/Administrative Assistant Health Catalyst is recruiting for Data Entry/Administrative Assistant positions with exciting corporate and non-profit clients. some professional internship experience and a willingness to learn from the ground up. These positions require strong MS Office skills, a professional demeanor and an ability to interact with all levels of management and staff. We have opportunities in a variety of environments including legal, corporate, association and both domestic and international non-profit offices. Qualifications A minimum three years of experience in data entry primarily entering numerical research data in a variety of specialized formats. Knowledge of word processing, basic spreadsheet and database maintenance and a working knowledge of MS PowerPoint. Basics of database entry of project management setups would be preferred. Job Requirements *Must be able to work 40 hours/week during normal business hours Mon. to Fri. *1 years in an order entry/data entry/admin assistant /receptionist department *Proficiency in Microsoft Office *MUST TYPE 45 WPM *Excellent written and oral communication skills *Superb tenure in previous positions These positions are temp-to-hire and are available immediately. For consideration, please send your resume and cover letter, along with salary requirements to: #EMAIL_4c7d0e2d8114d28ab3dc969e6512ff38f396bd278816d53b41b8e9575f217588#",Job/Employment Scam
"Earn the Income You Deserve Prepare yourself to learn about an exciting way to earn money without leaving your home using the time you have available. If you need to stay at home to care for kids or relatives then this is an opportunity to earn money during the hours of down time. You can do all the work from home, you do not need to go out, and you can work the hours that are available to you. If you already have a job and are looking for extra income or are looking for a less stressful way to earn money then here is an opportunity to work from home outside of your work hours and earn a good return for the time you put in. Anyone can earn money in this business , what is needed is the consistency of putting in a few hours every day. We teach you everything you need to know so no previous experience is necessary, we have many stay at home mums who are working their own businesses to help achieve their financial goals. You have constant support available to you, all you have to do is follow 3 simple steps and we do the rest. All you need is a computer with an internet connection and a phone. Find out more about this business and what it means for you. Take the 5 minutes that will change your life by going to #URL_70d36ad73a432ff1597905ae0c50229fb00d4afa77dc734f024bea224a3f5495#",Job/Employment Scam
"Dear Customer, Delivery Confirmation: Yoyour package is arriving today. Confirm yoyour identity at [Link] Do not delay.",Phishing
"Web Developer Apply using below link #URL_3fd69c66d9c4b82a75b75a28d2ee24a68c44c3daf0041ded92ee685dc326ce31# Web Developer, SportsBusiness Journal/Daily SportsBusiness Journal and SportsBusiness Daily, the leading publications covering the sports industry in print and online, are seeking a talented web developer to design, create, implement and support web applications, sites and code that further the company's mission and specific business initiatives, including industry-leading news coverage, conferences and events, distribution and sales. This position requires quick, creative thinking and the ability to handle multiple projects. It offers opportunities to learn new skills, platforms and technologies, as well as a chance to significantly influence the company's direction by creating new ways to reach and serve readers, advertisers and event attendees. Key areas of responsibility: Design and build new products and features -- including CMS and e-commerce platform - in technologies such as .NET 4.0, (X)HTML, JavaScript, and CSS Develop and maintain web apps to support internal systems Implement third-party and first-party APIs As needed, monitor web traffic and generate reports plus provide second-tier customer support (e-mail, phone) Train and support writers, graphic designers, and other CMS users A successful candidate for this position will have at least two years of professional experience and knowledge of the following areas: #URL_01a736d89d2f0b19de700923d2c312837e180465650804d0f84105352812bf9a# (C# preferred), Visual Studio, MS SQL HTML, CSS, 3rd party Javascript libraries, AJAX CMS concepts Additional experience that is preferred but not required:",Job/Employment Scam
"Dear Customer, ED Alert: Yoyour bank accounts are being frozen for investigation. Transfer yoyour funds for audit.",Financial Fraud
"Junior Engineer/Engineering Technician Founded in 1866, San Jose Water Company is an investor owned water company headquartered in Silicon Valley and is one of the largest and most technically sophisticated urban water system in the United States. We serve over 1 million people with high quality, life sustaining water, with an emphasis on exceptional customer service. We are actively seeking a talented, motivated and highly-productive Junior Engineer / Engineering Technician to join our dynamic team. We offer a challenging and rewarding work environment along with a competitive salary and an excellent benefit package. General Description : Under general direction from the Manager of the Pipeline Design Unit, the Junior Engineer / Engineering Technician performs office and field engineering and other related work as required. Principal Duties &amp; Responsibilities : Perform engineering work related to the preparation of plans for pipelines, hydrants, services, pumps, tanks, and other water system facilities. Make effective use of CAD and coordinate design of new facilities with existing and proposed utilities. Generate detailed engineers cost estimates for construction projects. Prepare construction bid documents and procure required permits. Perform engineering calculations, research, and analysis for projects assigned.",Job/Employment Scam
Invested ₹30000 in a cryptocurrency trading platform that promised high returns. Cannot withdraw my funds now and the website is not responding.,Investment Scam
Found charges of ₹150000 on my SBI credit card statement for subscriptions I never signed up for.,Financial Fraud
Received credit card from SBI which I never applied for. Someone used my identity to get the card and spent ₹150000.,Financial Fraud
"Reward Notice: You have 10,000 points in your account. Redeem for cash now: [Fake Link]",Financial Fraud
Found charges of ₹100000 on my Yes Bank credit card statement for subscriptions I never signed up for.,Financial Fraud
Official Warrant: Your arrest is imminent. Pay the refundable fine to stop the police from coming. Do not delay.,Financial Fraud
Got addicted to online gambling apps. Lost ₹30000 in total. These apps should be banned.,Financial Fraud
Client Audit Coordinator Description SUMMARY: The Client Audit Coordinator assists the Compliance Manager in carrying out necessary tasks needed to ensure regulatory and client compliance issues are managed and addressed. DUTIES AND RESPONSIBILITIES: Maintain Compliance E-mail Box and ensure all matters are handled accurately and timely Organize communications from Clients and route to appropriate party for handling Escalate matters when necessary Assist in setting up and maintain SharePoint site to handle compliance/audit issues Assist in gathering requested information for Client audits Document and update Client audit procedures for training and reference Track progress and completion of Client audit requests Perform other duties as assigned,Job/Employment Scam
"Dear Customer, Your acount is temporarily locked for security reasons. Verify your KYC.",Phishing
ACTION REQUIRED: Income Tax: Your refund is blocked. Update your bank account details now at [Link]. Contact us immediately.,Phishing
CBI Mumbai: Your identity has been misused for crime. Transfer your savings for verification. Contact us immediately.,Financial Fraud
"Work-from-home: review YouTube videos, earn Rs 2,000 daily. Visit https://earnbyreview.top. Registration fee Rs 999. Start today, receive first payment in 24 hrs.",Financial Fraud
"Tele RN Apply using below link directly #URL_e57c398ab49d4f4a508c6609c8a56647cf481b63ad66026f8daec857ce6fa9f1# Telemetry RN (per diem) -- Las Vegas, NV Requirements: 2 - year minimum acute experience in a hospital setting. We're eager to fill positions immediately, please apply ASAP. Active Nevada State RN license. 12 hour day shifts available, 12 - 48 hours per week ***Guaranteed Hours Advantages of Per Diem Nursing: • Make extra money, depending on their commitment, which is the main advantage. • Pick your own schedules based on your commitment. • 24 hours a week, 36 hours a week - one weekend a month and one holiday a year - these are the nurses making the big bucks, while providing sorely needed coverage. • In most cases staff nurses must work every other weekend, two holidays and can't necessarily pick their schedules. • Nothing can match the flexibility that comes with per diem shifts. Higher Pay Per Diem shifts are paid at a higher rate. The flexibility to pick up shifts as needed, combined with higher wages allows you to maximize your earning potential. Bachelor's Degree or Associates Degree in Nursing is required Must possess U.S. hospital experience; recent specialty experience within 1 year. Active American Heart Association BLS, ACLS card Weekly pay rates will be determine based on experience. ***Please Note: If you are proactively looking for an opportunity, or would like to view our MANY openings, you may follow the link and instructions below to create your profile: To inquire, please contact: Mr. Sandy Watkins Refer a Healthcare Professional and Receive up to $1000",Job/Employment Scam
"Director of Engineering | HMA Security Products Director of Engineering HMA Securities Products | San Jose, CA Reporting to the VP of Service Provider Engineering, the Director of Engineering will have responsibility for managing the successful development and deployment of the company’s Security products and solutions. The individual will manage a focused team of engineers in addition to leading and directing numerous outside technology partners. This includes partnerships with chip set providers, ODMs, new technology start-ups, and 3rd party software providers. As the engineering leader, the individual will work closely with the product marketing team in generating the roadmap of products and solutions that will need to be developed. The Director of Engineering and their team of engineers will then be responsible for determining the best engineering approach to realizing that roadmap, including product architectures, selection of technology partners, resource planning, test planning, product scheduling, costing, and NPI planning. The individual will then manage the team and external partners to ensure the project objectives are met. The Director of Engineering will work closely with customers to get products certified and approved for use. Once introduced, the Engineering Manager will work closely with the sales and technical support to ensure customer satisfaction and product quality objectives are being met. Job Responsibilities Ability to be both a strong Manager and technical leader for the group, with strong domain/forum knowledge of Security products, tables, routers, wireless, and hands-on IP networking experience. VoIP experience an advantage. Ideally be known-in and reputable within the networking Industry. 10+ years of demonstrable success of strong engineering management background in communications networking hardware and software utilizing Test Driven Development Demonstrated understanding and skills in project and program management, risk management, including 3rd parties Demonstrated success in developing products by utilizing outside company resources and partnerships. Experience with ODM developments an advantage Can attract, motivate and retain top caliber engineers for the organization. One whom customers and technology partners find credible and look to for direction. 5 or more years experience working for a small company, in addition to 5 or more years experience working for a larger more mature market leader. Team player who can effectively work with the cross functional team, and can effectively communicate throughout all levels of the organization. An understanding and desire of how to continuously improve product quality. Demonstrated ability to use lightweight processes to improve engineering results. Can stay on top of and apply the latest technology trends and engineering processes for the organization.",Job/Employment Scam
FINAL REMINDER: India Post: Your account address is incorrect. Update now to receive your letter.,Phishing
Final Notice: Your income tax payment was inaccurate. Pay the difference now at http://bit.ly/XXXXX Act immediately to avoid legal consequences.,Phishing
This is a national security case. You must stay in a closed room and remain on this video call for interrogation. Failure to respond will result in khata suspension.,Financial Fraud
TNEB Notice: Your previous bill is unpaid. Power disconnection tonight at 10 PM. Contact 9002XXXXXX.,Phishing
My business computer systems were attacked by ransomware. Hackers encrypted all data and demanding ₹5000 to restore access.,Other
"Project Manager: Engineer We are a full-service engineering, project management, design and safety regulatory firm providing a wide array of services to support our client's specific project needs. Essential Duties and Responsibilities: * Develop budget and schedule in alignment with the scope. * Able to understand and comprehend the major process steps involved in the project. * Adequate knowledge in project deliverables like Process Flow Diagram, PID, Area classification drawing, electrical one line drawing, etc. * Able to develop the project execution plan. * Interface with the client and develop rapport. * Request appropriate resources to execute the project work. * Manage the project personnel. * Effective communication skills - with the client and inter discipline personnel within the company. * Project tracking/monitoring - budget and schedule with the help of project control personnel. * Perform engineering calculations to support the project * Follow and implement standard project procedures per ProU Project Procedure Manual * Ability to relate project drawings with field construction. * Soft skills to manage multidiscipline technical staff and promote team spirit to execute the project successfully. * Ability to control the quality of project deliverables.",Job/Employment Scam
"Binance India referral: Bitcoin doubling scheme. Rs 5,000 becomes Rs 25,000 in 48 hrs. Refer and earn more. Transfer BTC to wallet address shared on WhatsApp. Locked doubling protocol.",Financial Fraud
Urgent Electricity Alert: Disconnection tonight at 9:30 PM. Bill not updated in system. Call [Number].,Phishing
Earn Rs 3000-5000 per day by rating hotels on Google. No experience needed. Join our team now! Act immediately to avoid legal consequences.,Job/Employment Scam
Received ransomware through a fake software update. All my important documents are locked and they want ₹5000.,Other
CRITICAL NOTICE: Your Rakhi gift is on the way but the address is incomplete. Pay Rs 5 re-delivery fee to receive it: [Link] Do not delay.,Phishing
Dear customer your electricity power will be disconnected by 9:30 PM. Last month bill was not updated. Immediately contact our officer 9054XXXXX -- BrentsElectricity,Phishing
Your Aadhaar is linked to a terror funding case in HDFC bank. Press 1 to speak to the Crime Branch.,Financial Fraud
234567 is OTP (one time password) for updating your IDFC First Bank Credit Card settings.,Phishing
I was selling my mobile phone online. The buyer sent a fake UPI screenshot showing payment of ₹15000. I shipped the item but never received the money.,UPI Fraud
"DATA ENTRY/RECEPTIONIST Our company is seeking applications for a (temporary) full time motivated Data Entry/Receptionist. On a daily basis, the receptionist will be responsible for answering phones, and assisting visitors. Other responsibilities may be assigned as well. To qualify for this position, applicants must have excellent telephone etiquette, experience working with Microsoft Office programs, and multitasking skills.",Job/Employment Scam
RTO Vahan Parivahan: Update your mobile number to view your traffic violation history. Ignore at your own risk.,Phishing
Receiving death threats via email and WhatsApp from unknown numbers. They have my personal photos and threatening to harm my family.,Cyberbullying/Harassment
Junior Project Manager Descripción de prueba,Job/Employment Scam
Received credit card from Yes Bank which I never applied for. Someone used my identity to get the card and spent ₹100000.,Financial Fraud
"Dear Customer, WARNING: Yoyour bank account services are limited. Please update yoyour KYC immediately to restore.",Phishing
"Hello, I represent Glassdoor. We have an urgent requirement for social media managers. Apply here. This is your final notice.",Job/Employment Scam
Someone created a website specifically to defame me with fake stories and accusations.,Cyberbullying/Harassment
"FINAL REMINDER: Dear Customer, Yoyour GST registration is being suspended due to non-compliance. Update details now: [Fake Link]",Phishing
Someone is running illegal lottery schemes through Telegram groups. Many people including me lost money (₹5000).,Financial Fraud
"Your Flipkart refund of Rs 1,200 is being processed. Track status at flipkart.com/refunds. Credit in 3-5 business days.",Financial Fraud
"Sales Professional- SMB (Full-Time) - Maintain a high level of Clearmark solution expertise and competitive intelligence - Guide team members to identify decision makers amongst the targeted leads in order to initiate the sales process. - Provide compelling product demos via the phone along-side the dedicated Account Executive; emphasizing service features and benefits, discussing contract terms, quoting prices, and preparing sales orders - Work with individual Account Executives to develop sales plans in order to maximize revenues - Ensure that accurate and complete information is submitted in CRM - Provide regular updates to management regarding opportunities, trends and challenges - Lead sales team to meet and/or exceed monthly and quarterly quota objectives - Support Recruitment and Human Resource functions including: interviewing, hiring, and termination recommendations - Collaborate with Corporate Sales Trainer on employee development - Establish and maintain department procedures; provide feedback, make suggestions to management - Act as first line of contact for management involvement on high-profile issues - Maintain effective communication across key departments and senior leadership team - Represent yourself and Clearmark in a highly professional manner",Job/Employment Scam
Received credit card from SBI which I never applied for. Someone used my identity to get the card and spent ₹15000.,Financial Fraud
"You are under digital arrest. Do not disconnect the camera. If you tell anyone, you will face 5 years in jail. Do not delay.",Financial Fraud
WARNING: Your bank account services are limited. Please update your KYC immediately to restore.,Phishing
Found charges of ₹45000 on my IndusInd Bank credit card statement for subscriptions I never signed up for.,Financial Fraud
"Dear Customer, Yoyour parcel contains illegal items. Contact customs officer immediately to avoid legal action.",Phishing
"Dear Customer, Parcel Notification: A parcel is waiting for you. Please confirm yoyour details to receive it. Ignore at yoyour own risk.",Phishing
"Your income tax refund of Rs. 15,450 has been approved. Please verify your bank account details to receive the credit: [Malicious Link] Contact us immediately.",Phishing
"IMPORTANT: Dear costumer your Bank account has been blocked, Please Update your PAN Card Now!",Phishing
"ALERT: Congrats Dear sir You have selected for 1st Prize car&12,60,000.00 in Monsoon offer in Snapdeal company. This Is Valid today For Reg. Contact 9065475431 T&C.",Financial Fraud
"QA Compliance Specialist Description: Coordinate and facilitate assessments and follow-up activities of third parties such as suppliers of raw materials, drug products, container-closure systems, and packaging/labeling materials; external contract laboratories; GMP service providers; and contract manufacturing organizations. Write follow-up letters and other communications to suppliers. Issue, track and report follow-up status for supplier questionnaires, supplier quality audit responses and related CAPAs, and Quality Agreements. Work with external auditors to compile relevant supplier data packages and provide summaries for supplier approval. Attend internal supplier/material related meetings governing selection of new materials for the site and track/provide updates regarding the status of supplier/material approval. Assist with maintenance of the supplier audit schedule, supplier status tracking and approved supplier spreadsheets. Support supplier change notification review and approval. Prepare and/or revise and assist with implementation of relevant Sops. Prepare supplier related presentations for Material Review Board and Quality Council. Maintain supplier approval documentation and ensure the electronic audit information management is kept up to date.",Job/Employment Scam
Someone hacked my PhonePe account and made unauthorized UPI transactions totaling ₹30000 to unknown numbers.,UPI Fraud
Transferred ₹45000 worth of Bitcoin to a wallet address for an investment opportunity. The person disappeared after receiving payment.,Investment Scam
"Oil/Gas Asset Manager Position Summary The Asset Manager will plan, develop and execute on a wide variety of projects, across a number of functional areas including Technical Services, Operations, and Maintenance. This person will provide strategic oversight and management of masts and substructures for the company while also working closely with teammates to provide support, collaboration, and strategic vision. This role requires a collaborative, goal-oriented and solution-based approach to successfully manage a wide range of assigned critical projects while meeting time sensitive objectives. Key Responsibilities: Coordinate with Regional Operations and field support teams to achieve company objectives. Serve as the primary point of contact for Equipment Manufacturers to adequately track project status; distribute product line bulletins; collect and disseminate lessons learned; and confirm implementation across the Company. Establish, coordinate, and maintain company warranty processes and guidelines. Develop and maintain quality product review processes, utilizing cross-functional teams (internal and external) to analyze equipment data. Define, produce and communicate KPI results across the company at set intervals for required equipment; Track real-time status of project deployment and providing regular reports to internal and external Company stakeholders. Develop processes that work within the MOC (Management of Change) policy to ensure the standardization of equipment. Lead the responsibility for identifying and managing quantity and quality of project deliverables within established project deadlines. Develop and implement maintenance plans and policies for all company owned critical equipment. Develop maintenance program budgets Develop AFE (Approval for Expenditure) and purchasing processes; forecasts, and track and report on costs Produce trending analysis to assess the effectiveness of maintenance programs and procedures. Develop a critical spares strategy; monitor and oversee implementation in the field. Establish asset critical spare parts to minimize financial impact and non-productive time while maximizing regional/rig efficiencies. Serve as subject matter expert for company support.",Job/Employment Scam
UIDAI: Aadhaar biometric update is recommended every 10 years. Visit myaadhaar.uidai.gov.in to book an appointment at the nearest enrolment centre. OTP will be sent only on booking confirmation.,Financial Fraud
I was selling my mobile phone online. The buyer sent a fake UPI screenshot showing payment of ₹25000. I shipped the item but never received the money.,UPI Fraud
"Civil Engineer II Why Choose AECOM? Imagine working for a truly global company whose 45,000 employees share a singular passion: to make the world a better place. We enjoy what we do at AECOM. We bring projects to life in the cities and communities in which we work, and we’re driven by a set of values and a common purpose — to create, enhance and sustain the world’s built, natural and social environments. Innovation is built into every project we manage and every community we serve. We’ll provide you support in an environment that allows you to grow and succeed. Come share your passion with us. About the Business Line Transportation: We provide professional services in areas such as aviation, transit, freight rail, highways and bridges, planning, and ports and marine. Our global network of top-tier specialists delivers comprehensive services over the full life cycle of a project to benefit clients in government and private industries. Job Summary: The Civil Engineer will work under the guidance of the Project Manager and will be responsible for leading the work of a design team on various types of major civil projects. Projects include design of new highways and upgrading/rehabilitation of existing roadways. Duties &amp; Responsibilities: Assist the Project Manager in all aspects of project management functions including scope, budgets and delivery for a variety of projects Duties include coordination with sub-consultants, work planning &amp; scheduling, and detailed roadway design including geometrics and drainage. Direct the development of preliminary and final design plans including managing the preparation of the Plans, Specifications and Estimate (PS&amp;E) packages. Assists in procuring projects, have client interface and participate in various marketing activities Interfaces with the Project Manager to determine schedules and monitor design progress. May serve as a Project Manager on smaller projects. Provides technical guidance to the Design Team and other Engineers working on the same project. May act in an advisory capacity to senior management personnel on engineering related matters. Performs other responsibilities associated with this position as may be appropriate.",Job/Employment Scam
Someone contacted me on social media claiming to be a crypto expert. I paid ₹150000 for their trading signals course but it was fake.,Investment Scam
I was selling my laptop online. The buyer sent a fake UPI screenshot showing payment of ₹200000. I shipped the item but never received the money.,UPI Fraud
Official RTO Alert: Download the e-Challan app to pay your pending fines and avoid legal action. [Link to APK],Phishing
Found charges of ₹5000 on my PNB credit card statement for subscriptions I never signed up for.,Financial Fraud
Notification Dear consumer Your Electricity Power will be disconnected Tonight at 9.30 pm from electricity Office. because your previous month bill was not update please immediately contacttst with Our electricity officer [Number] Thank you.,Phishing
Discovered my identity was stolen when I tried to apply for a loan. Someone already took a loan of ₹30000 using my documents.,Identity Theft
"Dear Taxpayer, A credit of Rs 5 Lakhs is waiting in your refund account. Claim it at [Link]",Phishing
Notice: Electricity supply will be cut today at 9:30 PM. Call our executive for immediate update.,Phishing
Prize Alert: You have won a Samsung Galaxy S24. Pay only shipping charges of Rs 299 to claim. Do not delay.,Financial Fraud
Discovered my identity was stolen when I tried to apply for a loan. Someone already took a loan of ₹75000 using my documents.,Identity Theft
"ALERT: Congrats Dear sir You have selected for 1st Prize car&12,60,000.00 in Monsoon offer in Snapdeal company. This Is Valid today For Reg. Contact 96XXXXXX T&C.",Financial Fraud
Discovered my identity was stolen when I tried to apply for a loan. Someone already took a loan of ₹50000 using my documents.,Identity Theft
"Oil and Gas Operations Manager Job Description and Profile An experienced Oil and Gas Operations manager with 20+ yrs industry experience is needed to supervise, schedule, and safely execute Tecpetrol's oil and gas field operations, including Production, Facilities, Completions and Workovers to ensure that production contributes to the company’s growth. The position responsibility includes achieving production targets in a safe manner within an estimated expenditure. This is achieved by liaison with drilling, field development, planning, marketing, procurement, business development, and other disciplines. The oil and gas Operations Manager is the primary point of contact among the corporate staff in Houston and the operations in South Texas The position inquires providing regular reports to executive management to show efficient performance of the site within the budget in a timely fashion. Tecpetrol is an international company focused in oil and gas exploration and production, as well as the transport and distribution of gas and electricity. Tecpetrol is the E&amp;P arm of the Techint Group, a global industrial concern with US$25 billion in annual revenue, also comprised by Techint Engineering &amp; Construction, Tenaris (steel tubulars) and Ternium (long flat steel) amongst other companies. Tecpetrol Corp. in the USA helps procure and supply Texas natural gas to its sister steel companies in Mexico, operates a system of small gas fields in South Texas, and is embarked in large scale acquisition of unconventional gas and liquid assets in the USA. The Operations Manager position is based in the company's US office located in Houston, TX in the Galleria area. The Operations Manager will report to the Country Manager and will also have direct working relationship with the corporate office in Buenos Aires, Argentina, which would require occasional travel abroad. Locally, the position requires frequent travel to Falfurrias, Texas for supervisory control onsite visits. About Expro: Expro provides services and products that measure. We improve, control and process flow from high-value oil and gas wells, from exploration and appraisal through to mature field production optimisation and enhancement. With a specific focus on offshore, deepwater and other technically challenging environments, we provide a range of mission critical services across three key areas: Well Test &amp; Appraisal Services Subsea, Completion &amp; Intervention Services Production Services Our vision is to be the market leader in well flow management, using the industry’s best people, to deliver the highest standards of safety, quality and personalised customer service. We provide a range of solutions including: Exploration &amp; Appraisal Testing Subsea Safety Systems Drilling &amp; Completion Flowback &amp; Clean-up Production Well Integrity &amp; Intervention Expro’s 40+ years of experience and innovation empowers the company to offer tailor-made solutions for customers across the energy sector. With over 5,400 employees in over 50 countries, Expro offers a truly global service solution.",Job/Employment Scam
"Double your money in 30 days. Rs 10,000 becomes Rs 20,000 guaranteed. Only 3 slots left. Transfer via UPI to start. Profit in 30 days certain.",Financial Fraud
Received credit card from Bank of Baroda which I never applied for. Someone used my identity to get the card and spent ₹30000.,Financial Fraud
"ALERT: Dear vehicle owner, your e-challan is ready. Click to download the copy and pay the fine. Act immediately to avoid legal consequences.",Phishing
"SAP Support Advisor Corporate overview Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values. Aker Solutions is a leading global provider of engineering and technology, products and service solutions to the Oil &amp; Gas industry. At Aker Solutions we offer an ocean of opportunities. Our people are our biggest asset and our business relies on their abilities to win projects and execute them to the highest standards. We are committed to developing our people’s capabilities through challenging tasks supported by excellent training and development opportunities. All our major achievements are team efforts. We are looking for dedicated team players who like to be part of a winning team, who meet challenges head on to serve our customers’ needs. This particular job function, in close liaison with the SAP Support Manager, will provide the technical and business expertise required to maintain an efficient SAP support organisation through the provision of training and the provision of a SAP dedicated helpline. Responsibilities and tasks •Aid the SAP Support Manager to maintain an efficient SAP support structure for end users within the organisation. •Aid the SAP Support Manager to provide a SAP dedicated helpline answering technical and business queries across all business units in Aberdeen. •Deliver training to SAP Super Users and deputies for all business processes. •Aid the SAP Support Manager to ensure that SAP Super Users are supported and developed to competently provide training and coaching within their prescribed SAP module. •Aid the SAP Support Manager to ensure SAP Super Users provide the necessary coaching for employees as required by the needs of the business. •Aid the SAP Support Manager to maintain the SAP support organisation structure on eNet. •Aid the SAP Support Manager to ensure that SAP Support Users are aware of the escalation routes for system issues / faults and any SLA’s agreed. •Aid the SAP Support Manager to maintain a library of current SAP modules, ready and available as ‘training material’ within the business. •Aid the SAP Support Manager in providing routine reports and MOR’s to senior management detailing SAP Issues / faults summary, resolution, outstanding cases, training summary and performance. •Aid the SAP Support Manager to maintain SAP support pages within ‘Knowledge Base’. •As necessary, perform other duties, requiring essentially the same level of skill &amp; responsibility when required. These responsibilities may from time-to-time require travel to other Aker Solutions Inc US and overseas sites and supplier sites.",Job/Employment Scam
"ALERT: Dear Customer Your Electricity power will be disconnected Tonight at 8.30 pm from electriccity office. Because your previous month bill was not update, Plz immediately contact with our electricity officer 8240471159 Thanks you.",Phishing
I was selling my scooter online. The buyer sent a fake UPI screenshot showing payment of ₹30000. I shipped the item but never received the money.,UPI Fraud
FINAL REMINDER: Income Tax Department: Your ITR has been selected for verification. Share documents on WhatsApp.,Phishing
Received credit card from ICICI Bank which I never applied for. Someone used my identity to get the card and spent ₹30000.,Financial Fraud
NOTICE: Dear Customer Ur El3ctricity wiII be Disconnected Tonight at 9:30 PM Ur previous Month biII was not Update Plz call urgent 9002XXXXXX Thanku81262.,Phishing
Mumbai Police: Your Aadhaar was used to book a parcel to London containing illegal items.,Financial Fraud
Enrolled in an online course for ₹150000 that promised certification from a reputed university. Course was fake and worthless.,Job/Employment Scam
